Gene_ID,log2FoldChange,pvalue,padj
ENSG00000231510,-0.25,0.3910022189557705,
ENSG00000284616,-0.75,0.0576688856224373,
ENSG00000284692,-0.25,0.8022499654968982,
ENSG00000284666,0.0,,
ENSG00000260972,-0.646240625180289,0.197580482295765,
ENSG00000283356,0.0,,
ENSG00000236948,-0.526691666185896,0.5836554307768306,
ENSG00000264341,0.0,,
ENSG00000264101,0.5239760316291208,0.5751625238650392,
ENSG00000131697,-0.03958583706003438,0.895513380010131,
ENSG00000069424,-0.18058222846448935,0.5165622885456703,
ENSG00000116254,-0.22490935948911606,0.2677334892431871,
ENSG00000285629,0.0,,
ENSG00000116251,-0.07591298750961517,0.6580621207998949,
ENSG00000226944,0.17568746970707316,0.3158064142119114,
ENSG00000158286,-0.06859880017172681,0.861311852160115,
ENSG00000116237,0.141249366322163,0.30263731747259737,
ENSG00000225077,0.05949297675893028,0.9471912152767767,
ENSG00000173673,0.08333333333333331,0.8511627527132343,
ENSG00000158292,-0.047495629206758316,0.8052229456738995,
ENSG00000097021,-0.18831927716574803,0.4683688514097417,
ENSG00000271746,0.0,,
ENSG00000069812,0.31786518241263084,0.751916040513834,
ENSG00000187017,-0.21541354172676308,0.7778498877299704,
ENSG00000265392,-0.25,0.3910022189557705,
ENSG00000231868,1.1399750004807707,0.015668730445435732,
ENSG00000215788,-0.5105859438271301,0.46623914859129223,
ENSG00000171680,-0.01804649329653163,0.9633988146127205,
ENSG00000162408,-0.23115827563054214,0.25311586927705454,
ENSG00000253022,0.27832083357371873,0.6675211330154363,
ENSG00000229519,0.43824162079721685,0.6015558235804225,
ENSG00000173662,0.8820802083934296,0.130651934604098,
ENSG00000204859,-0.10335757070115648,0.7810735663780674,
ENSG00000162413,-0.26248831883938806,0.21333683579713525,
ENSG00000116273,0.1844348844293009,0.3607808590124347,
ENSG00000041988,-0.15722948562282024,0.6171346403056024,
ENSG00000007923,-0.4187968781805429,0.11710017870283711,
ENSG00000228750,-0.46882785681478845,0.45725593677831805,
ENSG00000284744,-0.31005598223546293,0.7422151275803095,
ENSG00000237436,0.7345318490792976,0.17066626877908792,
ENSG00000171735,-0.4042881372873772,0.022431415528474833,
ENSG00000227950,-0.9065061705423301,0.14692688666923015,
ENSG00000237365,-0.20760434154959473,0.8307791752548923,
ENSG00000207056,-1.2896299407490852,0.03662957307076876,
ENSG00000237402,-0.9591479170272448,0.14395983577577204,
ENSG00000237728,-0.4088574664894986,0.6938009371944205,
ENSG00000225126,-0.8021611901481217,0.2762755758485437,
ENSG00000270171,-0.1102011059718393,0.678194863077476,
ENSG00000270035,-0.48298827360164776,0.1324479269670874,
ENSG00000269978,-0.3905380059573036,0.714085551748442,
ENSG00000049245,0.46624344460506695,0.2651610241231559,
ENSG00000269925,-0.32300579067775015,0.6416070565515001,
ENSG00000049246,0.10082990785002188,0.7170692582004125,
ENSG00000236266,0.2086143288775424,0.5336959756914816,
ENSG00000049247,0.9406426982957872,0.21753618285581663,
ENSG00000049249,0.24224088296737656,0.7744162675558076,
ENSG00000270330,-0.0629072918469557,0.9080389177346884,
ENSG00000116288,-0.07198006221753772,0.8400115584595825,
ENSG00000200344,0.6604010419671484,0.3734797469866551,
ENSG00000284747,-0.17923149055108123,0.606461075310757,
ENSG00000284716,-0.9235178969406822,0.24848264136425122,
ENSG00000116285,0.10790371843520141,0.7290592102264075,
ENSG00000238290,-0.6779757738420331,0.4985844755622628,
ENSG00000232848,0.3645054765185448,0.5686383921805572,
ENSG00000229305,-0.7091479170272448,0.21642011319105328,
ENSG00000227634,-0.75,0.0576688856224373,
ENSG00000200975,0.8384115684680005,0.5611024662225143,
ENSG00000233645,-0.25,0.3910022189557705,
ENSG00000251977,0.3333333333333333,0.4226497308103743,
ENSG00000162426,-0.1924841783155573,0.4239075360959075,
ENSG00000252254,0.13930380299610023,0.8834939020511853,
ENSG00000142599,0.06713841525692388,0.7625961010363406,
ENSG00000232912,0.6984518984729555,0.027733568972848108,
ENSG00000221083,0.6151185651396225,0.41043881076582306,
ENSG00000270282,-0.43082708345352605,0.5715276729689163,
ENSG00000234619,-0.5334179110343316,0.2971238861632306,
ENSG00000224315,0.25738868698421813,0.5471549922894186,
ENSG00000222511,-0.6179197916065703,0.44964043548155774,
ENSG00000226545,0.02432091291119587,0.9727474817984777,
ENSG00000228423,-0.2648316142715297,0.5133861753120473,
ENSG00000229716,-0.29248125036057804,0.6263179158777894,
ENSG00000074800,0.1507055893223228,0.6880147746841057,
ENSG00000274258,-0.396240625180289,0.3910022189557704,
ENSG00000230679,-0.25,0.3910022189557705,
ENSG00000201725,0.0,,
ENSG00000238249,-0.6690871166064585,0.32020015428126847,
ENSG00000232208,0.7987969582046408,0.08736204837198489,
ENSG00000232663,0.353759374819711,0.6405757349416514,
ENSG00000131686,0.21541354172676297,0.7387883770069738,
ENSG00000265141,0.29874687506009634,0.47282567663289615,
ENSG00000197241,1.0191183073525347,0.3404340064742986,
ENSG00000142583,1.6390568715003768,0.03073375882592693,
ENSG00000252404,0.45832133682211484,0.5884310372883509,
ENSG00000180758,0.48996613882321727,0.07614772207400478,
ENSG00000228526,-0.15622619628634737,0.6183510496098993,
ENSG00000284357,0.0,,
ENSG00000234546,-0.44840181532841084,0.5207579269473562,
ENSG00000049239,0.26198302066784596,0.45011451264450175,
ENSG00000171621,0.49237655802209446,0.4550953306179577,
ENSG00000284652,1.2452779507781315,0.09540492353906299,
ENSG00000284693,0.17021665680940945,0.7635974565759094,
ENSG00000252956,0.0,,
ENSG00000235263,0.0,,
ENSG00000171612,-0.08305161844199294,0.5703401582704647,
ENSG00000231181,-0.35023741271788955,0.2573147436362709,
